date,code,name,weight,strategy_weight,position_scale
2021-11-23,588000.SH,科创50,0.25,0.5,0.5
2021-11-23,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-24,588000.SH,科创50,0.25,0.5,0.5
2021-11-24,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-25,588000.SH,科创50,0.25,0.5,0.5
2021-11-25,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-26,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-26,588000.SH,科创50,0.25,0.5,0.5
2021-11-29,588000.SH,科创50,0.25,0.5,0.5
2021-11-29,159949.SZ,创业板50,0.25,0.5,0.5
2021-11-30,588000.SH,科创50,0.25,0.5,0.5
2021-11-30,159949.SZ,创业板50,0.25,0.5,0.5
2021-12-01,588000.SH,科创50,0.25,0.5,0.5
2021-12-01,159949.SZ,创业板50,0.25,0.5,0.5
2021-12-02,588000.SH,科创50,0.25,0.5,0.5
2021-12-02,159949.SZ,创业板50,0.25,0.5,0.5
2021-12-03,159949.SZ,创业板50,0.25,0.5,0.5
2021-12-03,588000.SH,科创50,0.25,0.5,0.5
2021-12-06,159949.SZ,创业板50,0.25,0.5,0.5
2021-12-06,512890.SH,红利低波,0.25,0.5,0.5
2021-12-07,512890.SH,红利低波,0.25,0.5,0.5
2021-12-07,159949.SZ,创业板50,0.25,0.5,0.5
2021-12-08,512890.SH,红利低波,0.5,1.0,0.5
2021-12-09,512890.SH,红利低波,0.25,0.5,0.5
2021-12-09,511380.SH,可转债,0.25,0.5,0.5
2021-12-10,512890.SH,红利低波,0.25,0.5,0.5
2021-12-10,511380.SH,可转债,0.25,0.5,0.5
2021-12-13,512890.SH,红利低波,0.25,0.5,0.5
2021-12-13,511380.SH,可转债,0.25,0.5,0.5
2021-12-14,511380.SH,可转债,0.25,0.5,0.5
2021-12-14,512890.SH,红利低波,0.25,0.5,0.5
2021-12-15,511380.SH,可转债,0.25,0.5,0.5
2021-12-15,512890.SH,红利低波,0.25,0.5,0.5
2021-12-16,512890.SH,红利低波,0.25,0.5,0.5
2021-12-16,511380.SH,可转债,0.25,0.5,0.5
2021-12-17,512890.SH,红利低波,0.25,0.5,0.5
2021-12-17,511380.SH,可转债,0.25,0.5,0.5
2021-12-20,512890.SH,红利低波,0.25,0.5,0.5
2021-12-20,511380.SH,可转债,0.25,0.5,0.5
2021-12-21,512890.SH,红利低波,0.25,0.5,0.5
2021-12-21,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-22,512890.SH,红利低波,0.25,0.5,0.5
2021-12-22,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-23,512890.SH,红利低波,0.25,0.5,0.5
2021-12-23,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-24,512890.SH,红利低波,0.25,0.5,0.5
2021-12-24,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-27,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-27,512890.SH,红利低波,0.25,0.5,0.5
2021-12-28,512890.SH,红利低波,0.25,0.5,0.5
2021-12-28,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-29,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-29,512890.SH,红利低波,0.25,0.5,0.5
2021-12-30,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-30,512890.SH,红利低波,0.25,0.5,0.5
2021-12-31,159985.SZ,豆粕,0.25,0.5,0.5
2021-12-31,512890.SH,红利低波,0.25,0.5,0.5
2022-01-04,512890.SH,红利低波,0.25,0.5,0.5
2022-01-04,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-05,512890.SH,红利低波,0.25,0.5,0.5
2022-01-05,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-06,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-06,512890.SH,红利低波,0.25,0.5,0.5
2022-01-07,512890.SH,红利低波,0.25,0.5,0.5
2022-01-07,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-10,512890.SH,红利低波,0.25,0.5,0.5
2022-01-10,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-11,512890.SH,红利低波,0.25,0.5,0.5
2022-01-11,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-12,512890.SH,红利低波,0.25,0.5,0.5
2022-01-12,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-13,159985.SZ,豆粕,0.25,0.5,0.5
2022-01-13,512890.SH,红利低波,0.25,0.5,0.5
2022-01-14,512890.SH,红利低波,0.25,0.5,0.5
